"","Symbol","industry"
"406","BTA","Asset Management"
"407","BZM","Asset Management"
"408","MHE","Asset Management"
"409","BIT","Asset Management"
"410","MUI","Asset Management"
"411","MNE","Asset Management"
"412","MUA","Asset Management"
"413","BKK","Asset Management"
"414","BBK","Asset Management"
"415","BBF","Asset Management"
"416","BYM","Asset Management"
"417","BFK","Asset Management"
"418","BLE","Asset Management"
"419","BTT","Asset Management"
"420","MEN","Asset Management"
"421","MUC","Asset Management"
"422","MUH","Asset Management"
"423","MHD","Asset Management"
"424","MFL","Asset Management"
"425","MUJ","Asset Management"
"426","MHN","Asset Management"
"427","MUE","Asset Management"
"428","MUS","Asset Management"
"429","MVT","Asset Management"
"430","MYC","Asset Management"
"431","MCA","Asset Management"
"432","MYD","Asset Management"
"433","MYF","Asset Management"
"434","MFT","Asset Management"
"435","MIY","Asset Management"
"436","MYJ","Asset Management"
"437","MYN","Asset Management"
"438","MPA","Asset Management"
"439","MQT","Asset Management"
"440","MYI","Asset Management"
"441","MQY","Asset Management"
"442","BNY","Asset Management"
"443","BQH","Asset Management"
"444","BSE","Asset Management"
"445","BFY","Asset Management"
"446","BCX","Asset Management"
"447","BST","Asset Management"
"448","BSD","Asset Management"
"449","BUI","Asset Management"
"450","BHV","Asset Management"
"451","BLK","Asset Management"
"452","BGB","Asset Management"
"453","BGX","Asset Management"
"454","BSL","Asset Management"
"455","BE","Utilities - Independent Power Producers"
"456","APRN","Specialty Retail"
"457","BCRH","Insurance - Reinsurance"
"458","BXG","Resorts & Casinos"
"459","BXC","Building Materials"
"460","BA","Aerospace & Defense"
"461","BCC","Lumber & Wood Production"
"462","BCEI","Oil & Gas E&P"
"463","BOOT","Apparel Stores"
"464","BAH","Business Services"
"465","BWA","Auto Parts"
"466","SAM","Beverages - Brewers"
"467","BXP","REIT - Office"
"468","BXP^B",NA
"469","BSX","Medical Devices"
"470","BOX","Software - Infrastructure"
"471","BYD","Resorts & Casinos"
"472","BPMP","Oil & Gas Midstream"
"473","BP","Oil & Gas Integrated"
"474","BPT","Oil & Gas Refining & Marketing"
"475","BRC","Security & Protection Services"
"476","BHR","REIT - Hotel & Motel"
"477","BHR^B",NA
"478","BHR^D",NA
"479","BDN","REIT - Office"
"480","BWG","Asset Management"
"481","LND","Farm Products"
"482","BAK","Chemicals"
"483","BRFS","Packaged Foods"
"484","BPI","Education & Training Services"
"485","BGG","Diversified Industrials"
"486","BFAM","Personal Services"
"487","BEDU","Education & Training Services"
"488","BSA",NA
"489","BSIG","Asset Management"
"490","BV","Business Services"
"491","EAT","Restaurants"
"492","BCO","Security & Protection Services"
"493","BMY","Drug Manufacturers - Major"
"494","BRS","Oil & Gas Equipment & Services"
"495","BTI","Tobacco"
"496","BRX","REIT - Retail"
"497","BR","Business Services"
"498","BKD","Long-Term Care Facilities"
"499","BAM","Asset Management"
"500","BBU","Conglomerates"
"501","DTLA^",NA
"502","INF","Asset Management"
"503","BIP","Utilities - Diversified"
"504","RA","Asset Management"
"505","BEP","Utilities - Independent Power Producers"
"506","BRO","Insurance Brokers"
"507","BF.A",NA
"508","BF.B",NA
"509","BRT","REIT - Residential"
"510","BC","Leisure"
"511","BC^A",NA
"512","BC^B",NA
"513","BC^C",NA
"514","BT","Telecom Services"
"515","BPL","Oil & Gas Midstream"
"516","BKE","Apparel Stores"
"517","BVN","Industrial Metals & Minerals"
"518","BBW","Specialty Retail"
"519","BG","Farm Products"
"520","BURL","Discount Stores"
"521","BWXT","Aerospace & Defense"
"522","BY","Banks - Regional - US"
"523","CJ","Oil & Gas Equipment & Services"
"524","GYB",NA
"525","PFH",NA
"526","CABO","Telecom Services"
"527","CBT","Specialty Chemicals"
"528","COG","Oil & Gas E&P"
"529","CACI","Information Technology Services"
"530","WHD","Oil & Gas Equipment & Services"
"531","CADE","Banks - Regional - US"
"532","CAE","Aerospace & Defense"
"533","CAI","Rental & Leasing Services"
